    p    n    -0.78235    -1.80574  -1
  0.01  1.00  -99.999  -99.999  -99.999
  0.10  1.00  -49.750  -99.999  -51.332
  0.20  1.00  -29.580  -99.999  -30.855
  0.40  1.00  -19.262  -99.999  -20.225
  0.70  1.00  -14.019  -99.999  -14.724
  1.00  1.00  -10.766  -99.999  -11.303
  1.50  1.00   -7.990  -99.999   -8.333
  2.00  1.00   -6.458  -99.999   -6.661
  3.00  1.00   -4.715  -99.999   -4.719
  5.00  1.00   -2.968  -99.999   -2.721
 10.00  1.00   -1.035  -99.999   -0.450
 30.00  1.00    1.600  -99.999    2.696
100.00  1.00    4.293  -99.999    5.927
  0.01  2.00  -99.999  -99.999  -99.999
  0.10  2.00  -48.749  -99.999  -50.330
  0.20  2.00  -28.580  -99.999  -29.854
  0.40  2.00  -18.262  -99.999  -19.225
  0.70  2.00  -13.606  -99.999  -14.311
  1.00  2.00  -10.744  -99.999  -11.282
  1.50  2.00   -7.989  -99.999   -8.332
  2.00  2.00   -6.458  -99.999   -6.661
  3.00  2.00   -4.715  -99.999   -4.719
  5.00  2.00   -2.968  -99.999   -2.721
 10.00  2.00   -1.035  -99.999   -0.450
 30.00  2.00    1.600  -99.999    2.696
100.00  2.00    4.293  -99.999    5.927
  0.01  3.00  -99.999  -99.999  -99.999
  0.10  3.00  -47.732  -99.999  -49.314
  0.20  3.00  -27.574  -99.999  -28.849
  0.40  3.00  -17.260  -99.999  -18.223
  0.70  3.00  -12.658  -99.999  -13.363
  1.00  3.00  -10.538  -99.999  -11.075
  1.50  3.00   -7.974  -99.999   -8.317
  2.00  3.00   -6.454  -99.999   -6.658
  3.00  3.00   -4.714  -99.999   -4.719
  5.00  3.00   -2.968  -99.999   -2.720
 10.00  3.00   -1.035  -99.999   -0.450
 30.00  3.00    1.600  -99.999    2.696
100.00  3.00    4.293  -99.999    5.927
  0.01  4.00  -99.999  -99.999  -99.999
  0.10  4.00  -46.572  -99.999  -48.153
  0.20  4.00  -26.519  -99.999  -27.794
  0.40  4.00  -16.243  -99.999  -17.205
  0.70  4.00  -11.652  -99.999  -12.357
  1.00  4.00   -9.716  -99.999  -10.254
  1.50  4.00   -7.833  -99.999   -8.176
  2.00  4.00   -6.423  -99.999   -6.626
  3.00  4.00   -4.709  -99.999   -4.713
  5.00  4.00   -2.967  -99.999   -2.720
 10.00  4.00   -1.035  -99.999   -0.450
 30.00  4.00    1.600  -99.999    2.696
100.00  4.00    4.293  -99.999    5.927
  0.01  5.00  -99.999  -99.999  -99.999
  0.10  5.00  -44.223  -99.999  -45.805
  0.20  5.00  -25.017  -99.999  -26.291
  0.40  5.00  -15.072  -99.999  -16.034
  0.70  5.00  -10.585  -99.999  -11.290
  1.00  5.00   -8.685  -99.999   -9.222
  1.50  5.00   -7.099  -99.999   -7.442
  2.00  5.00   -6.134  -99.999   -6.338
  3.00  5.00   -4.656  -99.999   -4.660
  5.00  5.00   -2.959  -99.999   -2.711
 10.00  5.00   -1.034  -99.999   -0.449
 30.00  5.00    1.600  -99.999    2.696
100.00  5.00    4.293  -99.999    5.927
  0.01  6.00  -99.999  -99.999  -99.999
  0.10  6.00  -36.029  -99.999  -37.611
  0.20  6.00  -20.834  -99.999  -22.109
  0.40  6.00  -12.798  -99.999  -13.760
  0.70  6.00   -9.036  -99.999   -9.741
  1.00  6.00   -7.382  -99.999   -7.919
  1.50  6.00   -5.962  -99.999   -6.305
  2.00  6.00   -5.168  -99.999   -5.371
  3.00  6.00   -4.214  -99.999   -4.218
  5.00  6.00   -2.876  -99.999   -2.629
 10.00  6.00   -1.025  -99.999   -0.440
 30.00  6.00    1.601  -99.999    2.697
100.00  6.00    4.293  -99.999    5.927
  0.01  7.00  -46.082  -99.999  -48.669
  0.10  7.00  -10.983  -99.999  -12.564
  0.20  7.00   -8.290  -99.999   -9.564
  0.40  7.00   -6.487  -99.999   -7.447
  0.70  7.00   -5.363  -99.999   -6.062
  1.00  7.00   -4.733  -99.999   -5.263
  1.50  7.00   -4.066  -99.999   -4.401
  2.00  7.00   -3.616  -99.999   -3.812
  3.00  7.00   -3.010  -99.999   -3.008
  5.00  7.00   -2.270  -99.999   -2.020
 10.00  7.00   -0.937  -99.999   -0.352
 30.00  7.00    1.604  -99.999    2.700
100.00  7.00    4.293  -99.999    5.927
  0.01  8.00   -1.350  -99.999   -1.390
  0.10  8.00   -1.349  -99.999   -1.390
  0.20  8.00   -1.348  -99.999   -1.388
  0.40  8.00   -1.345  -99.999   -1.381
  0.70  8.00   -1.335  -99.999   -1.363
  1.00  8.00   -1.320  -99.999   -1.334
  1.50  8.00   -1.285  -99.999   -1.270
  2.00  8.00   -1.240  -99.999   -1.188
  3.00  8.00   -1.128  -99.999   -0.992
  5.00  8.00   -0.875  -99.999   -0.574
 10.00  8.00   -0.301  -99.999    0.293
 30.00  8.00    1.635  -99.999    2.731
100.00  8.00    4.294  -99.999    5.928
  0.01  9.00    0.831  -99.999    1.331
  0.10  9.00    0.831  -99.999    1.331
  0.20  9.00    0.832  -99.999    1.331
  0.40  9.00    0.832  -99.999    1.332
  0.70  9.00    0.833  -99.999    1.334
  1.00  9.00    0.835  -99.999    1.337
  1.50  9.00    0.838  -99.999    1.344
  2.00  9.00    0.844  -99.999    1.353
  3.00  9.00    0.859  -99.999    1.381
  5.00  9.00    0.904  -99.999    1.462
 10.00  9.00    1.074  -99.999    1.760
 30.00  9.00    1.922  -99.999    3.023
100.00  9.00    4.302  -99.999    5.936
  0.01 10.00    2.676  -99.999    3.584
  0.10 10.00    2.676  -99.999    3.584
  0.20 10.00    2.676  -99.999    3.584
  0.40 10.00    2.676  -99.999    3.584
  0.70 10.00    2.676  -99.999    3.584
  1.00 10.00    2.676  -99.999    3.585
  1.50 10.00    2.677  -99.999    3.586
  2.00 10.00    2.678  -99.999    3.587
  3.00 10.00    2.680  -99.999    3.592
  5.00 10.00    2.688  -99.999    3.607
 10.00 10.00    2.725  -99.999    3.673
 30.00 10.00    3.006  -99.999    4.157
100.00 10.00    4.385  -99.999    6.019
  0.01 11.00    4.416  -99.999    5.689
  0.10 11.00    4.416  -99.999    5.689
  0.20 11.00    4.416  -99.999    5.689
  0.40 11.00    4.416  -99.999    5.689
  0.70 11.00    4.416  -99.999    5.689
  1.00 11.00    4.416  -99.999    5.690
  1.50 11.00    4.416  -99.999    5.690
  2.00 11.00    4.416  -99.999    5.690
  3.00 11.00    4.417  -99.999    5.691
  5.00 11.00    4.419  -99.999    5.694
 10.00 11.00    4.426  -99.999    5.707
 30.00 11.00    4.499  -99.999    5.838
100.00 11.00    4.989  -99.999    6.639
    n    p     0.78235     1.80574   1
  0.01  1.00   -2.959  -99.999   -3.277
  0.10  1.00   -2.959  -53.221   -3.277
  0.20  1.00   -2.959  -26.532   -3.277
  0.40  1.00   -2.959  -12.686   -3.277
  0.70  1.00   -2.959   -6.981   -3.277
  1.00  1.00   -2.959   -5.532   -3.272
  1.50  1.00   -2.960   -4.312   -3.202
  2.00  1.00   -2.964   -3.604   -2.970
  3.00  1.00   -2.980   -2.736   -2.291
  5.00  1.00   -3.023   -1.743   -1.232
 10.00  1.00   -3.103   -0.415    0.305
 30.00  1.00   -3.197    1.802    2.943
100.00  1.00   -3.240    4.347    5.994
  0.01  2.00   -2.959  -99.999   -3.277
  0.10  2.00   -2.959  -54.223   -3.277
  0.20  2.00   -2.959  -27.532   -3.277
  0.40  2.00   -2.959  -13.686   -3.277
  0.70  2.00   -2.959   -7.394   -3.277
  1.00  2.00   -2.959   -5.554   -3.272
  1.50  2.00   -2.960   -4.314   -3.202
  2.00  2.00   -2.964   -3.604   -2.970
  3.00  2.00   -2.980   -2.736   -2.291
  5.00  2.00   -3.023   -1.743   -1.232
 10.00  2.00   -3.103   -0.415    0.305
 30.00  2.00   -3.197    1.802    2.943
100.00  2.00   -3.240    4.347    5.994
  0.01  3.00   -2.959  -99.999   -3.277
  0.10  3.00   -2.959  -55.239   -3.277
  0.20  3.00   -2.959  -28.538   -3.277
  0.40  3.00   -2.959  -14.688   -3.277
  0.70  3.00   -2.959   -8.343   -3.277
  1.00  3.00   -2.959   -5.760   -3.274
  1.50  3.00   -2.960   -4.328   -3.205
  2.00  3.00   -2.964   -3.607   -2.972
  3.00  3.00   -2.980   -2.736   -2.292
  5.00  3.00   -3.023   -1.744   -1.232
 10.00  3.00   -3.103   -0.415    0.305
 30.00  3.00   -3.197    1.802    2.943
100.00  3.00   -3.240    4.347    5.994
  0.01  4.00   -2.961  -99.999   -3.281
  0.10  4.00   -2.961  -56.400   -3.280
  0.20  4.00   -2.961  -29.593   -3.280
  0.40  4.00   -2.961  -15.706   -3.280
  0.70  4.00   -2.960   -9.349   -3.279
  1.00  4.00   -2.960   -6.582   -3.278
  1.50  4.00   -2.961   -4.469   -3.225
  2.00  4.00   -2.965   -3.638   -2.988
  3.00  4.00   -2.981   -2.742   -2.296
  5.00  4.00   -3.023   -1.744   -1.233
 10.00  4.00   -3.103   -0.415    0.304
 30.00  4.00   -3.197    1.802    2.943
100.00  4.00   -3.240    4.347    5.994
  0.01  5.00   -2.980  -99.999   -3.310
  0.10  5.00   -2.979  -58.748   -3.309
  0.20  5.00   -2.979  -31.096   -3.308
  0.40  5.00   -2.978  -16.877   -3.305
  0.70  5.00   -2.975  -10.415   -3.301
  1.00  5.00   -2.973   -7.613   -3.297
  1.50  5.00   -2.970   -5.202   -3.281
  2.00  5.00   -2.971   -3.925   -3.111
  3.00  5.00   -2.983   -2.794   -2.344
  5.00  5.00   -3.024   -1.752   -1.241
 10.00  5.00   -3.103   -0.416    0.304
 30.00  5.00   -3.197    1.802    2.943
100.00  5.00   -3.240    4.347    5.994
  0.01  6.00   -3.140  -99.999   -3.550
  0.10  6.00   -3.140  -66.942   -3.548
